MLS#,LATITUDE,LONGITUDE,SOLD DATE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH
8965694,41.9746598,-87.6662345,1/23/16,1438 W CARMEN Ave #2,CHICAGO,IL,60640,191000,2,1,Uptown,1000,1910,1050,191,196
8981710,41.8621048,-87.6212171,1/25/16,1502 S Prairie Ave Unit K,CHICAGO,IL,60605,337020,2,2,Near South Side,1450,,1048,232,618
9006666,41.9635334,-87.7671276,1/26/16,4543 N Central Ave Unit 3-S,CHICAGO,IL,60630,120000,2,2,Portage Park,1000,,1047,120,217
9096535,41.811138,-87.594663,1/26/16,1261 E 46th St Unit 201E,CHICAGO,IL,60653,185000,2,2,Kenwood,1200,2005,1047,154,192
9001441,41.876952,-87.6443047,1/29/16,700 W Van Buren St #1310,CHICAGO,IL,60607,175000,1,1,Near West Side,,2002,1044,,283
9013912,41.8968668,-87.6767785,1/29/16,831 N DAMEN Ave Unit 3W,CHICAGO,IL,60622,235000,1,1,West Town,,,1044,,264
9068955,42.008674,-87.671853,2/2/16,1645 W Lunt Ave Unit 3N,CHICAGO,IL,60626,155000,2,2,Rogers Park,1039,1925,1040,149,250
9091538,41.8104825,-87.6143502,2/2/16,450 E 46th Pl Unit E2,Chicago,IL,60653,115000,2,1,Grand Boulevard,1000,,1040,115,157
9027795,41.9594508,-87.7139534,2/5/16,3422 W Cullom Ave #1,CHICAGO,IL,60618,150000,2,2,Irving Park,1200,1925,1037,125,198
9047066,41.7937996,-87.7766792,2/5/16,5417 S MELVINA Ave Unit 6-204,CHICAGO,IL,60638,140000,2,2,Garfield Ridge,1050,2000,1037,133,200
9029497,41.960158,-87.772877,2/5/16,5815 W MONTROSE Ave Unit 2S,CHICAGO,IL,60634,81000,2,1,Portage Park,,1969,1037,,220
9058806,41.9480223,-87.6983993,2/9/16,3642 N California Ave #2,CHICAGO,IL,60618,130000,1,1,Irving Park,775,,1033,168,230
9099154,41.8943912,-87.6493359,2/12/16,680 N GREEN St #410,CHICAGO,IL,60642,228000,1,1,West Town,800,1998,1030,285,209
9081587,41.9489833,-87.7318252,2/12/16,3729 N KEELER Ave Unit 2R,CHICAGO,IL,60641,166000,2,1,Irving Park,900,,1030,184,245
9120361,41.8801718,-87.6482748,2/19/16,123 S Green St Unit 1004B,CHICAGO,IL,60607,367000,1,1,Near West Side,900,2008,1023,408,445
9109673,41.937478,-87.645481,2/22/16,631 W Barry Ave Unit 2H,CHICAGO,IL,60657,220000,1,1,Lake View,,1907,1020,,347
9111483,41.9321546,-87.6590379,2/22/16,2748 N Racine Ave #3,CHICAGO,IL,60614,475000,2,2,Lincoln Park,,2001,1020,,137
9081218,41.9131941,-87.6431397,2/22/16,1711 N LARRABEE St #2,CHICAGO,IL,60614,510000,2,2,Lincoln Park,1300,2002,1020,392,132
9092187,41.999183,-87.701254,2/23/16,2841 W Arthur Ave Unit 2E,CHICAGO,IL,60645,95000,2,1,West Ridge,1000,1952,1019,95,230
8996540,41.8681458,-87.6270166,2/25/16,1101 S STATE St #1105,CHICAGO,IL,60605,255000,1,1,Loop,882,2004,1017,289,549
9113057,41.8814007,-87.652498,2/26/16,1001 W MADISON St #501,CHICAGO,IL,60607,326100,1,1,Near West Side,,2001,1016,,306
9123026,41.9916048,-87.6556908,2/26/16,6030 N SHERIDAN Rd #911,Chicago,IL,60660,82100,1,1,Edgewater,750,1951,1016,109,425
9085747,42.0073694,-87.7080448,2/29/16,6933 N Kedzie Ave #1107,CHICAGO,IL,60645,105000,2,2,West Ridge,1200,1965,1013,88,650
9120357,41.89369,-87.639378,3/1/16,375 W Erie St #220,CHICAGO,IL,60654,265000,1,1,Near North Side,,1997,1012,,254
9093024,41.9189626,-87.636715,3/1/16,2020 N LINCOLN PARK WEST Pkwy Unit 32L,Chicago,IL,60614,210000,1,1,Lincoln Park,532,1971,1012,395,411
9067825,41.9566107,-87.6525205,3/1/16,911 W BELLE PLAINE Ave Unit 3E,CHICAGO,IL,60613,387500,2,2,Uptown,1400,1906,1012,277,207
9098823,41.9385462,-87.7880207,3/1/16,6444 W Belmont Ave #206,CHICAGO,IL,60634,212500,2,2,Dunning,1337,2006,1012,159,160
9051021,41.9692018,-87.6567478,3/3/16,1046 W Lawrence Ave #4,CHICAGO,IL,60640,252500,2,2,Uptown,1300,,1010,194,380
9104680,42.004769,-87.6908979,3/4/16,2423 W Pratt Blvd Unit 1J,CHICAGO,IL,60645,55010,1,1,West Ridge,,1920,1009,,163
9113641,41.925886,-87.7051965,3/4/16,2439 N ALBANY Ave Unit 2N,CHICAGO,IL,60647,330000,2,1,Logan Square,1200,1900,1009,275,250
9110470,41.9465584,-87.6503065,3/7/16,3537 N Reta Ave #3,CHICAGO,IL,60657,472000,2,2,Lake View,1450,2006,1006,326,200
9049402,41.9676566,-87.7228174,3/9/16,4743 N Hamlin Ave #1,CHICAGO,IL,60625,95000,2,1,Albany Park,975,1928,1004,97,345
9125003,41.9387423,-87.6606192,3/10/16,1241 W FLETCHER St Unit F,CHICAGO,IL,60657,463000,2,2.5,Lake View,1846,1988,1003,251,215
9092667,41.9352189,-87.6405879,3/14/16,431 W Oakdale Ave Unit 7A,CHICAGO,IL,60657,357000,2,2,Lake View,1719,1928,999,208,840
9116625,41.8799167,-87.6417716,3/15/16,125 S Jefferson St #1709,CHICAGO,IL,60661,315000,1,1.5,Near West Side,,2003,998,,504
9119366,41.9558871,-87.7040506,3/15/16,3022 W Belle Plaine Ave #1,CHICAGO,IL,60618,165000,2,1,Irving Park,900,1924,998,183,226
9032754,41.9893004,-87.6720076,3/16/16,5930 N PAULINA St #1,CHICAGO,IL,60660,119250,1,1.5,Edgewater,,1920,997,,355
9146922,41.9536996,-87.7899109,3/16/16,6526 W IRVING PARK Rd #504,CHICAGO,IL,60634,160000,2,2,Dunning,1120,1991,997,143,293
9130343,41.8998985,-87.6696544,3/17/16,1001 N Paulina St #1,CHICAGO,IL,60622,408000,2,3,West Town,2055,,996,199,200
9042799,42.0091283,-87.7083229,3/18/16,7033 N Kedzie Ave #1413,CHICAGO,IL,60645,105000,2,2,West Ridge,1500,1967,995,70,789
9086897,42.0091283,-87.7083229,3/21/16,7033 N KEDZIE Ave #712,CHICAGO,IL,60645,102500,1,1,West Ridge,,,992,,490
9068953,41.9372467,-87.6853774,3/22/16,3047 N Oakley Ave #302,CHICAGO,IL,60618,408500,2,2,North Center,1340,2015,991,305,174
9110310,41.9215283,-87.636595,3/23/16,2144 N LINCOLN PARK WEST Pkwy Unit 26A,CHICAGO,IL,60614,240000,1,1,Lincoln Park,1000,1972,990,240,484
9096971,41.967391,-87.818864,3/23/16,7650 W Lawrence Ave #106,NORRIDGE,IL,60706,150000,2,1.5,Norridge,,1972,990,,198
9092895,41.6916164,-87.7146607,3/25/16,3730 W 111th St #103,CHICAGO,IL,60655,165000,2,2,Mount Greenwood,1350,2002,988,122,186
9033820,41.9427275,-87.7189741,3/25/16,3358 N MONTICELLO Ave Unit 2W,CHICAGO,IL,60618,202500,2,1,Avondale,1500,,988,135,150
9125724,41.9774239,-87.6741066,3/28/16,5235 N Ravenswood Ave #15,CHICAGO,IL,60640,325500,2,1,Edgewater,,1898,985,,357
9062446,41.966872,-87.7389029,3/28/16,4748 N Elston Ave #102,CHICAGO,IL,60630,152000,2,2,Irving Park,,1975,985,,255
9129878,41.9840935,-87.727684,3/28/16,3950 W Bryn Mawr Ave #204,CHICAGO,IL,60659,250000,2,2,North Park,1280,1995,985,195,410
9148465,41.8616382,-87.6261837,3/29/16,1516 S Wabash Ave #504,CHICAGO,IL,60605,325000,2,2,Near South Side,1232,1998,984,264,599
9083672,41.8668747,-87.621408,3/30/16,1235 S PRAIRIE Ave #1803,CHICAGO,IL,60605,645000,2,2,Near South Side,1350,2006,983,478,669
9118377,41.9327315,-87.6837965,3/31/16,2222 W DIVERSEY Ave #402,CHICAGO,IL,60647,250000,1,1.5,Logan Square,900,,982,278,208
9134877,41.9537008,-87.671201,3/31/16,3943 N Paulina St #1,CHICAGO,IL,60613,324000,2,2,Lake View,,,982,,140
9111707,41.8968588,-87.670708,3/31/16,827 N Hermitage Ave #3,CHICAGO,IL,60622,599000,2,2,West Town,,2015,982,,186
9121864,41.8944669,-87.6404491,4/1/16,451 W Huron St #504,CHICAGO,IL,60654,300000,1,1,Near North Side,902,2007,981,333,347
9126369,41.7545534,-87.7302671,4/1/16,4281 W 76th St #405,CHICAGO,IL,60652,34900,2,2,West Lawn,,1976,981,,332
9072713,41.8118789,-87.5986889,4/1/16,4559 S Greenwood Ave #304,CHICAGO,IL,60653,165000,2,2,Kenwood,1000,,981,165,206
9125881,41.9683001,-87.6956117,4/4/16,4755 N Washtenaw Ave #308,CHICAGO,IL,60625,328000,2,2,Lincoln Square,,2007,978,,320
9138897,41.9063696,-87.6926065,4/4/16,2611 W Hirsch St Unit B,CHICAGO,IL,60622,305000,2,2.5,West Town,,2002,978,,160
9055849,41.9337008,-87.7107585,4/5/16,3317 W George St W #3,CHICAGO,IL,60618,157750,1,1,Avondale,,1925,977,,193
9128621,41.9075162,-87.6801655,4/5/16,1412 N Hoyne Ave Unit 1C,CHICAGO,IL,60622,550500,2,2.5,West Town,1850,1996,977,298,210
9150478,41.9568242,-87.6986705,4/6/16,4136 N California Ave #103,CHICAGO,IL,60618,157000,1,1,Irving Park,825,,976,190,251
9132448,41.9530118,-87.719371,4/6/16,3938 N Monticello Ave Unit 1N,CHICAGO,IL,60618,260000,2,1.5,Irving Park,1250,1910,976,208,249
9148191,41.8950895,-87.6421936,4/8/16,521 W Superior St #528,CHICAGO,IL,60654,315000,1,1,Near North Side,,,974,,364
9070880,41.8391431,-87.6223083,4/8/16,3041 S Michigan Ave #403,CHICAGO,IL,60616,95000,2,2,Douglas,1300,1964,974,73,600
9127989,42.009862,-87.672594,4/11/16,1709 W Greenleaf Ave Unit G,CHICAGO,IL,60626,114000,2,2,Rogers Park,1250,1920,971,91,190
9148189,41.876952,-87.6443047,4/12/16,700 W Van Buren St #1210,CHICAGO,IL,60607,180000,1,1,Near West Side,730,2002,970,247,286
9071783,41.7665684,-87.7219822,4/13/16,6939 S Pulaski Rd Unit 2D,CHICAGO,IL,60629,55000,2,1,West Lawn,,1974,969,,222
9096094,41.9144834,-87.6351056,4/14/16,1750 N Wells St #101,CHICAGO,IL,60610,305000,1,1.5,Lincoln Park,,1966,968,,488
9132940,42.0014663,-87.6793682,4/14/16,1944 W Albion Ave #2,Chicago,IL,60626,130000,2,1,West Ridge,1100,,968,118,272
9152825,41.9320027,-87.641704,4/15/16,2747 N HAMPDEN Ct Unit 2W,CHICAGO,IL,60614,223500,1,1,Lincoln Park,,1920,967,,272
9091631,41.9901712,-87.6692465,4/15/16,1538 W Thorndale Ave #3,CHICAGO,IL,60660,137500,1,1,Edgewater,1000,1926,967,138,228
9167854,41.8918897,-87.6344692,4/15/16,200 W GRAND Ave #1603,CHICAGO,IL,60654,474000,2,2,Near North Side,1250,2004,967,379,731
9126131,41.960109,-87.733079,4/15/16,4336 N Keeler Ave N Unit 1D,CHICAGO,IL,60641,152500,2,2,Irving Park,1009,1974,967,151,308
9152438,41.9168766,-87.6955894,4/15/16,1935 N Fairfield Ave #104,CHICAGO,IL,60647,298900,2,2,Logan Square,1200,1918,967,249,366
9130222,41.8928504,-87.6397404,4/15/16,411 W Ontario St #312,CHICAGO,IL,60654,419000,2,2,Near North Side,1282,1910,967,327,500
9111144,41.9803382,-87.6544912,4/18/16,5415 N SHERIDAN Rd #5408,CHICAGO,IL,60640,135000,1,1,Edgewater,700,1974,964,193,489
9138061,41.8925989,-87.6690345,4/18/16,1649 W ONTARIO St Unit 1W,CHICAGO,IL,60622,420000,2,2.5,West Town,2000,2000,964,210,185
9149348,42.0087714,-87.6971337,4/18/16,7007 N Washtenaw Ave #1,CHICAGO,IL,60645,104000,2,1,West Ridge,750,,964,139,200
9148363,41.8783464,-87.6420845,4/19/16,565 W Quincy St #1308,CHICAGO,IL,60661,412000,2,2,Near West Side,1104,2009,963,373,485
9163827,41.9713831,-87.6509453,4/20/16,4880 N Marine Dr Unit 510N,CHICAGO,IL,60640,82500,1,1,Uptown,600,,962,138,389
9187615,41.8768396,-87.6582967,4/22/16,1224 W Van Buren St #800,Chicago,IL,60607,342400,2,1,Near West Side,1037,2007,960,330,502
9144981,41.945685,-87.6521912,4/22/16,3504 N FREMONT St #3,CHICAGO,IL,60657,480000,2,2,Lake View,1500,2006,960,320,133
9180212,41.896367,-87.665085,4/25/16,808 N Greenview Ave Unit 4C,CHICAGO,IL,60642,497000,1,2,West Town,,2003,957,,268
9165217,41.9244383,-87.7055742,4/25/16,3125 W FULLERTON Ave #212,CHICAGO,IL,60647,341000,2,1,Logan Square,,2006,957,,305
8990700,41.778284,-87.731896,4/25/16,4347 W 63RD St Unit 2A,CHICAGO,IL,60629,55000,2,1,West Lawn,800,1964,957,69,313
9180057,41.8954074,-87.6272288,4/26/16,25 E SUPERIOR St #2505,CHICAGO,IL,60611,879000,2,2,Near North Side,1575,2003,956,558,976
9124994,41.997026,-87.671407,4/26/16,1626 W Highland Ave Unit 1W,CHICAGO,IL,60660,237500,2,1.5,Edgewater,1810,1913,956,131,258
9161219,41.860832,-87.6498137,4/27/16,1524 S Sangamon St #407,CHICAGO,IL,60608,317500,2,2,Near West Side,1300,2002,955,244,520
9154952,41.8814779,-87.682867,4/27/16,2244 W Madison St #202,CHICAGO,IL,60612,260000,2,2,Near West Side,1392,2007,955,187,296
9137818,41.8623256,-87.7492106,4/27/16,4998 W 14th St Unit 3A,CICERO,IL,60804,45900,2,1,Cicero,815,1965,955,56,160
9135400,41.9710084,-87.676055,4/28/16,4915 N Wolcott Ave Unit 1B,CHICAGO,IL,60640,225000,2,1,Lincoln Square,1000,1945,954,225,308
9088805,41.9499546,-87.6499047,4/28/16,801 W Bradley Pl #3,CHICAGO,IL,60613,315000,2,2,Lake View,,,954,,308
9054041,41.945132,-87.652317,4/28/16,901 W CORNELIA Ave Unit G,CHICAGO,IL,60657,170500,2,1,Lake View,,1908,954,,218
9128232,41.9546861,-87.7871317,4/28/16,4106 N Narragansett Ave #311,CHICAGO,IL,60634,170000,2,2,Dunning,1495,1987,954,114,358
9162419,41.8935802,-87.6274223,4/29/16,10 E Ontario St #1705,CHICAGO,IL,60611,315000,1,1,Near North Side,995,1983,953,317,548
9143443,41.9056941,-87.6658688,4/29/16,1319 N Bosworth Ave #3,CHICAGO,IL,60642,370000,2,2,West Town,,2003,953,,137
9126552,41.8645524,-87.6236878,5/2/16,100 E 14th St #2903,Chicago,IL,60605,395000,1,1,Near South Side,927,2005,950,426,465
9128045,41.9427747,-87.7330947,5/2/16,4224 W Roscoe St Unit 1W,CHICAGO,IL,60641,192500,2,1,Irving Park,,,950,,161
9148148,41.960242,-87.6474766,5/2/16,4250 N Marine Dr #436,CHICAGO,IL,60613,237000,2,2,Uptown,1450,1962,950,163,554
9141558,41.963765,-87.762196,5/2/16,4545 N Long Ave Unit 1C,CHICAGO,IL,60630,150000,2,2,Portage Park,1000,1975,950,150,324
9166944,41.8977846,-87.6352185,5/4/16,849 N FRANKLIN St #920,CHICAGO,IL,60654,275000,1,1,Near North Side,,2006,948,,398
9151269,41.9267278,-87.6423915,5/4/16,625.5 W Arlington Pl Unit 2S,Chicago,IL,60614,300000,2,2,Lincoln Park,,1905,948,,156
9158344,41.9770553,-87.7334777,5/5/16,5225 N RIVERS EDGE Ter #401,CHICAGO,IL,60630,227064,2,2,North Park,1356,1997,947,167,385
9131500,41.9342406,-87.6874406,5/6/16,2911 N Western Ave #304,CHICAGO,IL,60618,312000,2,2,Logan Square,,,946,,376
9151164,41.962864,-87.705489,5/6/16,4453 N Albany Ave Unit 3S,CHICAGO,IL,60625,174500,2,1,Albany Park,,1925,946,,160
9137023,41.9837154,-87.7254963,5/6/16,3850 W BRYN MAWR Ave #505,CHICAGO,IL,60659,243500,2,2,North Park,,1996,946,,449
9185444,41.9534408,-87.6878458,5/10/16,3944 N Claremont Ave #303,CHICAGO,IL,60618,290000,2,2,North Center,,2001,942,,355
