MLS#,LATITUDE,LONGITUDE,SOLD DATE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH
9200330,41.8910773,-87.6385332,6/6/16,360 W Illinois St #407,CHICAGO,IL,60654,585000,2,2,Near North Side,,,915,,617
9176949,41.964473,-87.660619,6/6/16,4533 N Magnolia Ave Unit 3N,CHICAGO,IL,60640,265000,2,2,Uptown,,1916,915,,200
9236114,41.8925368,-87.6714348,6/30/16,1746 W Ohio St Unit 1R,CHICAGO,IL,60622,194000,1,1,West Town,,2005,891,,137
9217158,41.9390209,-87.638854,6/30/16,3150 N Lake Shore Dr Unit 11B,CHICAGO,IL,60657,452000,2,2,Lake View,1650,1978,891,274,898
9116088,41.9698371,-87.6720214,6/30/16,4831 N Hermitage Ave Unit 1C,CHICAGO,IL,60640,99750,2,1,Uptown,,1960,891,,242
9211877,42.0091283,-87.7083229,6/30/16,7033 N KEDZIE Ave #1113,CHICAGO,IL,60645,132000,2,2,West Ridge,1500,1967,891,88,775
9222674,41.8835547,-87.634204,7/1/16,208 W Washington St #2201,Chicago,IL,60606,222500,1,1,Loop,,1926,890,,515
9210229,41.975865,-87.671667,7/1/16,1653 W Foster Ave Unit 3W,CHICAGO,IL,60640,290000,2,1,Uptown,,,890,,276
9152465,41.951389,-87.652377,7/1/16,3804 N Fremont St #1,CHICAGO,IL,60613,262500,2,2,Lake View,1200,1928,890,219,189
9239787,41.8922453,-87.6628339,8/1/16,1411 W Ohio St Unit 2R,CHICAGO,IL,60642,203000,1,1,West Town,,,859,,106
9259726,41.9092557,-87.6323365,8/2/16,1460 N Sandburg Ter #409,CHICAGO,IL,60610,168500,1,1,Near North Side,,1965,858,,325
9234153,41.9733634,-87.8460404,8/2/16,5155 N EAST RIVER Rd Unit 323A,CHICAGO,IL,60656,123600,2,1.5,O'Hare,1024,1979,858,121,273
9252639,41.889792,-87.6260503,8/4/16,405 N Wabash Ave #4702,CHICAGO,IL,60611,255000,1,1,Near North Side,890,1977,856,287,657
9257277,42.0099963,-87.667811,8/8/16,7029 N GREENVIEW Ave Unit 2S,CHICAGO,IL,60626,186750,2,1,Rogers Park,900,,852,208,251
9260923,41.8969966,-87.7289374,8/8/16,4101 W Iowa St #6,CHICAGO,IL,60651,38000,2,1,Humboldt Park,700,1929,852,54,221
9228548,41.8910233,-87.6421903,8/9/16,501 N Clinton St #2606,CHICAGO,IL,60654,595000,2,2,West Town,1400,2000,851,425,998
9261710,41.9280184,-87.6484951,8/9/16,2523 N Halsted St #2,CHICAGO,IL,60614,431000,2,2,Lincoln Park,1600,2002,851,269,162
9218683,41.947969,-87.7861711,8/11/16,6950 W Forest Preserve Dr #204,NORRIDGE,IL,60634,167500,2,1.5,Norridge,1100,1979,849,152,266
9114171,41.9542936,-87.6471664,8/12/16,655 W Irving Park Rd #5408,CHICAGO,IL,60613,179000,1,1,Lake View,800,1975,848,224,619
9258843,41.9136438,-87.676663,8/12/16,1742 N WINCHESTER Ave #203,CHICAGO,IL,60622,500000,2,2,West Town,1700,,848,294,263
9083003,41.9979067,-87.8088743,8/12/16,6458 N NORTHWEST Hwy Unit B1,CHICAGO,IL,60631,100000,2,2,Edison Park,900,1982,848,111,280
9241740,41.893042,-87.629247,8/12/16,33 W Ontario St Unit 47A,CHICAGO,IL,60654,544000,2,2,Near North Side,1349,2004,848,403,1122
9231501,41.9104645,-87.6326865,8/15/16,1560 N Sandburg Ter #3104,CHICAGO,IL,60610,300000,1,1,Near North Side,831,,845,361,676
9238872,41.9558871,-87.7040506,8/16/16,3022 W BELLE PLAINE Ave #2,Chicago,IL,60618,178000,2,1,Irving Park,850,1924,844,209,173
9277536,42.020914,-87.667033,8/16/16,7662 N Sheridan Rd Unit 3F,CHICAGO,IL,60626,122564,2,2,Rogers Park,1200,1929,844,102,371
9265793,41.9458066,-87.6572653,8/16/16,1100 W Cornelia Ave #106,CHICAGO,IL,60657,290000,2,2,Lake View,1300,1989,844,223,294
9257627,41.8918897,-87.6470628,8/17/16,525 N Halsted St #507,Chicago,IL,60642,285000,1,1,West Town,950,,843,300,350
9231187,41.9269784,-87.6457025,8/17/16,644 W ARLINGTON Pl Unit 4C,CHICAGO,IL,60614,237000,1,1,Lincoln Park,,1972,843,,308
9266291,41.9920619,-87.6783415,8/17/16,6113 N Winchester Ave Unit 1B,CHICAGO,IL,60660,68000,2,1,West Ridge,900,1946,843,76,403
9285341,41.9397996,-87.7909726,8/17/16,6561 W School St #108,CHICAGO,IL,60634,135000,2,2,Dunning,900,1995,843,150,251
9287843,41.8875215,-87.6395123,8/19/16,333 N Canal St #1307,Chicago,IL,60606,405000,1,1.5,Near West Side,1100,2001,841,368,726
9267505,41.9897758,-87.7355567,8/20/16,4240 W Harrington Ln Unit NA,CHICAGO,IL,60646,252500,2,2,Forest Glen,1441,1990,840,175,426
9279544,41.8302504,-87.6499319,8/22/16,3500 S Sangamon St #208,CHICAGO,IL,60609,210000,2,2,Bridgeport,1215,1913,838,173,404
9210089,41.9624383,-87.7086193,8/22/16,4440 N Kedzie Ave #301,CHICAGO,IL,60625,285000,2,2,Albany Park,1400,2007,838,204,220
9293348,41.8812862,-87.656228,8/23/16,1155 W MADISON St #506,CHICAGO,IL,60607,295000,1,1.5,Near West Side,,2001,837,,248
9238531,41.9312127,-87.6506482,8/23/16,2707 N Mildred Ave Unit 1A,CHICAGO,IL,60614,310000,2,1,Lincoln Park,,1920,837,,284
9252489,41.9226307,-87.7109425,8/23/16,3313 W Belden Ave #1,CHICAGO,IL,60647,257000,2,1,Logan Square,1000,1913,837,257,228
9198386,41.924504,-87.6654329,8/23/16,2343 N Greenview Ave #202,CHICAGO,IL,60614,269500,2,1,Lincoln Park,1200,1986,837,225,268
9276226,41.9618997,-87.6585369,8/24/16,1100 W Montrose Ave #206,CHICAGO,IL,60613,192000,1,1,Uptown,,2000,836,,238
9282198,41.954347,-87.6470655,8/25/16,655 W Irving Park Rd #3413,CHICAGO,IL,60613,175000,1,1,Lake View,762,1973,835,230,532
9252621,41.9346002,-87.6809236,8/25/16,2915 N Clybourn Ave #204,CHICAGO,IL,60618,299000,2,2,North Center,,2006,835,,214
9279345,41.9613713,-87.6552938,8/26/16,4350 N Broadway St #611,CHICAGO,IL,60613,210000,1,1.5,Uptown,,2003,834,,340
9277535,41.9408161,-87.6701638,8/26/16,1636 W Melrose St #104,CHICAGO,IL,60657,202000,1,1,Lake View,,,834,,210
9253323,41.9393521,-87.6455302,8/26/16,628 W Briar Pl #1,CHICAGO,IL,60657,495000,2,2,Lake View,1600,1936,834,309,150
9215622,42.005915,-87.65895,8/30/16,1114 W Pratt Blvd Unit G,CHICAGO,IL,60626,160400,2,1,Rogers Park,,,830,,194
9283940,41.889792,-87.6260503,8/31/16,405 N Wabash Ave #1808,CHICAGO,IL,60611,302000,1,1,Near North Side,,1976,829,,479
9266452,41.8601135,-87.6235334,8/31/16,1601 S Michigan Ave #201,CHICAGO,IL,60605,225110,1,1,Near South Side,,,829,,281
9244397,41.9541855,-87.6458258,8/31/16,3950 N Lake Shore Dr Unit 722D,Chicago,IL,60613,130000,1,1,Lake View,,1957,829,,497
9244309,41.8686934,-87.6253788,9/1/16,1111 S Wabash Ave #1607,CHICAGO,IL,60605,272500,1,1.5,Loop,1077,2004,828,253,503
9278821,41.943312,-87.6523561,9/1/16,911 W Roscoe St #3,CHICAGO,IL,60657,448000,2,2,Lake View,,2004,828,,139
9282965,41.8807676,-87.664874,9/2/16,1500 W Monroe St #408,Chicago,IL,60607,203310,1,1,Near West Side,750,2005,827,271,263
9300434,41.8834409,-87.6527871,9/6/16,1000 W Washington Blvd #305,CHICAGO,IL,60607,410000,2,1,Near West Side,1310,1910,823,313,477
9267894,41.9128804,-87.6831912,9/6/16,2210 W Wabansia Ave #407,CHICAGO,IL,60647,395000,2,2,West Town,,1998,823,,257
9257494,41.9436205,-87.6583752,9/7/16,1144 W Roscoe St Unit 1W,CHICAGO,IL,60657,242500,1,1,Lake View,800,2005,822,303,242
9267404,41.9002501,-87.6250781,9/8/16,100 E Walton St Unit 28H,CHICAGO,IL,60611,270000,1,1,Near North Side,750,1971,821,360,727
9267040,41.9235393,-87.6440642,9/8/16,601 W Belden Ave Unit 2A,CHICAGO,IL,60614,400000,2,1.5,Lincoln Park,1100,1889,821,364,208
9299447,41.939907,-87.672698,9/13/16,1738 W BELMONT Ave Unit 3R,CHICAGO,IL,60657,379900,2,2,Lake View,,2002,816,,283
9286162,41.7703256,-87.5670561,9/13/16,6832 S South Shore Dr #2,CHICAGO,IL,60649,45000,2,2,South Shore,1200,1933,816,38,460
9250744,41.8559253,-87.6227556,9/13/16,120 E Cullerton St #502,CHICAGO,IL,60616,391000,2,2,Near South Side,1338,1903,816,292,480
9294661,41.8716236,-87.626288,9/14/16,41 E 8th St #1104,CHICAGO,IL,60605,252000,1,1,Loop,,2002,815,,465
9276274,41.916176,-87.6360732,9/14/16,1856 N LINCOLN Ave #1,Chicago,IL,60614,177000,1,1,Lincoln Park,,,815,,333
9290381,41.9061626,-87.6261578,9/14/16,1313 N Ritchie Ct #2307,CHICAGO,IL,60610,610000,2,2,Near North Side,1630,1973,815,374,1174
9245911,41.905509,-87.6283954,9/15/16,1255 N State Pkwy Unit 2G,CHICAGO,IL,60610,300000,1,1,Near North Side,850,1924,814,353,922
9176346,41.840833,-87.622573,9/16/16,2941 S Michigan Ave #409,CHICAGO,IL,60616,115500,1,1,Douglas,900,1978,813,128,450
9277551,41.9833384,-87.6546064,9/16/16,5555 N Sheridan Rd #1815,CHICAGO,IL,60640,235000,2,2.5,Edgewater,2000,1929,813,118,1252
9297446,41.9435262,-87.6506504,9/16/16,833 W Roscoe St Unit 2W,Chicago,IL,60657,470000,2,2,Lake View,1600,2003,813,294,265
9245813,41.9293369,-87.663745,9/16/16,2600 N Southport Ave #101,CHICAGO,IL,60614,425000,2,2,Lincoln Park,1700,1928,813,250,480
9299167,41.8795309,-87.6537879,9/22/16,1040 W Adams St #219,CHICAGO,IL,60607,340000,1,1,Near West Side,1025,2006,807,332,575
9306801,41.9905975,-87.6642185,9/22/16,1339 W ELMDALE Ave #3,CHICAGO,IL,60660,375000,2,2,Edgewater,1531,,807,245,162
9289444,41.8961747,-87.6367085,9/23/16,757 N ORLEANS St #1203,CHICAGO,IL,60654,355000,1,1,Near North Side,983,2008,806,361,417
9257483,41.915777,-87.7153189,9/23/16,3544 W Cortland St Unit BA,CHICAGO,IL,60647,127500,2,1,Logan Square,700,1922,806,182,224
9319393,41.855261,-87.6243062,9/26/16,2000 S Michigan Ave #104,CHICAGO,IL,60616,309900,2,2,Near South Side,1350,2005,803,230,406
9213213,41.9595393,-87.6687155,9/26/16,4249 N ASHLAND Ave #1,Chicago,IL,60613,237500,2,2,Lake View,945,1923,803,251,210
9291338,41.9234221,-87.6472376,9/27/16,2253 N BURLING St #1,CHICAGO,IL,60614,300000,1,1,Lincoln Park,,1920,802,,235
9316863,41.945345,-87.790999,9/27/16,6557 W Addison St Unit 2E,CHICAGO,IL,60634,133000,2,1,Dunning,900,1976,802,148,233
9270789,41.9934263,-87.6596235,9/29/16,6135 N Broadway St #303,CHICAGO,IL,60660,199500,1,1.5,Edgewater,800,,800,249,155
9339630,41.8740263,-87.6294409,9/30/16,600 S DEARBORN St #710,CHICAGO,IL,60605,235000,1,1,Loop,950,1911,799,247,348
9306763,41.9497605,-87.683326,9/30/16,3737 N Leavitt St Unit 1S,CHICAGO,IL,60618,232000,2,1,North Center,,,799,,165
9293699,41.8584961,-87.6199206,9/30/16,1717 S Prairie Ave #610,CHICAGO,IL,60616,425000,2,2,Near South Side,1367,2004,799,311,854
9261819,41.8656683,-87.6549019,9/30/16,1254 S Blue Island Ave #201,CHICAGO,IL,60608,265000,2,2,Near West Side,,2006,799,,167
9089295,41.8599665,-87.6228461,9/30/16,1600 S Indiana Ave #1307,CHICAGO,IL,60616,348000,2,2,Near South Side,,2006,799,,298
9314441,41.8946708,-87.6177765,9/30/16,680 N Lake Shore Dr #301,CHICAGO,IL,60611,775000,2,2.5,Near North Side,2150,1926,799,360,1197
9282809,41.974803,-87.652196,9/30/16,5048 N Marine Dr Unit 3E,CHICAGO,IL,60640,179000,2,1,Uptown,1300,1939,799,138,648
9341216,41.8942887,-87.6246388,10/3/16,118 E ERIE St Unit 15D,CHICAGO,IL,60611,845000,1,1.5,Near North Side,1423,2012,796,594,1488
9355959,41.8765326,-87.6347559,10/3/16,235 W Van Buren St #3313,CHICAGO,IL,60607,290000,2,1,Loop,800,2009,796,363,269
9311508,41.8741493,-87.6334072,10/3/16,611 S Wells St #2703,CHICAGO,IL,60607,540000,2,2.5,Loop,1667,2008,796,324,820
9328009,41.9355516,-87.6348904,10/5/16,2800 N LAKE SHORE Dr #2604,CHICAGO,IL,60657,255000,1,1,Lake View,,1969,794,,561
9272601,41.974859,-87.6679295,10/6/16,5115 N Clark St Unit 3G,CHICAGO,IL,60640,430000,2,2.5,Uptown,1700,2000,793,253,333
9284968,41.8586026,-87.6246153,10/7/16,1720 S Michigan Ave #2417,CHICAGO,IL,60616,197500,1,1,Near South Side,705,2007,792,280,311
9323719,41.9689738,-87.6795549,10/7/16,4814 N DAMEN Ave #209,CHICAGO,IL,60625,361000,2,2,Lincoln Square,1350,2005,792,267,286
9295665,42.003966,-87.81604,10/7/16,7555 W Pratt Ave Unit 2E,CHICAGO,IL,60631,161000,2,1,Edison Park,,1964,792,,220
9335712,41.8586026,-87.6246153,10/11/16,1720 S Michigan Ave #2113,CHICAGO,IL,60616,198000,1,1,Near South Side,705,2007,788,281,304
9296321,41.9469092,-87.6428605,10/11/16,3500 N LAKE SHORE Dr Unit 11D,CHICAGO,IL,60657,700000,2,2.5,Lake View,2500,1927,788,280,1993
9315485,41.889792,-87.6260503,10/12/16,405 N Wabash Ave #1411,CHICAGO,IL,60611,319900,1,1,Near North Side,950,1977,787,337,721
9313617,41.9340832,-87.6493435,10/13/16,2846 N Halsted St Unit 1S,CHICAGO,IL,60657,217000,1,1,Lake View,925,1999,786,235,66
9310592,42.0119432,-87.692791,10/13/16,2501 W Touhy Ave #403,CHICAGO,IL,60645,91000,1,1,West Ridge,800,1963,786,114,222
9307068,41.923105,-87.6618672,10/14/16,2251 N Wayne Ave Unit A2,CHICAGO,IL,60614,397000,2,2.5,Lincoln Park,1827,1986,785,217,312
9330215,41.9938766,-87.7994064,10/14/16,6233 N Niagara Ave Unit 3F,CHICAGO,IL,60631,138000,2,1.5,Norwood Park,925,1974,785,149,260
9278114,41.8933455,-87.6361735,10/17/16,630 N FRANKLIN St #1118,CHICAGO,IL,60654,305000,1,1,Near North Side,,2005,782,,289
9326638,42.0190528,-87.6654849,10/18/16,7527 N Sheridan Rd Unit 2W,CHICAGO,IL,60626,178000,2,2,Rogers Park,,,781,,259
9201739,41.963685,-87.6818256,10/20/16,4511 N Hamilton Ave #3,CHICAGO,IL,60625,260000,2,1,Lincoln Square,1200,,779,217,471
9342720,41.9132407,-87.6856011,10/20/16,2333 W St Paul Ave #202,CHICAGO,IL,60647,399900,2,2,West Town,,1940,779,,364
9345580,41.8799196,-87.6424431,10/21/16,125 S JEFFERSON St #1407,CHICAGO,IL,60661,300000,1,2,Near West Side,1200,2003,778,250,538
9300501,41.8668747,-87.621408,10/25/16,1211 S Prairie Ave #3203,CHICAGO,IL,60605,470000,1,1,Near South Side,,2007,774,,536
9342783,41.8866708,-87.6209369,10/25/16,222 N columbus Dr #2109,CHICAGO,IL,60601,420500,2,2,Loop,1120,2002,774,375,723
9356716,41.9740217,-87.8442509,10/25/16,5204 N Oakview St Unit 2W,CHICAGO,IL,60631,103000,2,1,O'Hare,1100,1970,774,94,255
9310239,41.9096188,-87.6312282,10/27/16,70 W Burton Ter #1003,CHICAGO,IL,60610,202000,1,1,Near North Side,745,,772,271,555
9353076,41.9943837,-87.654658,10/27/16,6171 N SHERIDAN Rd #2212,CHICAGO,IL,60660,175000,2,2,Edgewater,1290,1965,772,136,661
9349093,41.9935886,-87.6551152,10/27/16,6147 N Sheridan Rd Unit 8A,CHICAGO,IL,60660,173500,2,2,Edgewater,1500,1970,772,116,921
9293251,41.8915234,-87.6178142,10/28/16,512 N McClurg Ct #2701,CHICAGO,IL,60611,488000,2,2,Near North Side,1445,2001,771,338,549
9333724,41.9303286,-87.6398531,10/28/16,2626 N LAKEVIEW Ave #1212,CHICAGO,IL,60614,239500,2,2,Lincoln Park,1200,1968,771,200,766
9337412,41.9006502,-87.6683779,10/28/16,1031 N Marshfield Ave #2,CHICAGO,IL,60622,391000,2,2,West Town,,2002,771,,122
9349140,41.9756372,-87.663254,10/31/16,1322 W Winona St Unit 3N,CHICAGO,IL,60640,342500,2,2,Uptown,,1912,768,,242
9325776,41.9092557,-87.6323365,11/1/16,1460 N Sandburg Ter #2803,CHICAGO,IL,60610,210000,1,1,Near North Side,,1963,767,,548
9335726,41.9092557,-87.6323365,11/2/16,1460 N Sandburg Ter #2410,CHICAGO,IL,60610,265950,1,1,Near North Side,800,,766,332,497
9250692,41.9433051,-87.7865971,11/2/16,3444 N NARRAGANSETT Ave #2,CHICAGO,IL,60634,215000,2,2,Dunning,1200,2006,766,179,215
9333897,41.8730553,-87.6298852,11/3/16,640 S FEDERAL St #705,CHICAGO,IL,60605,202000,1,1,Loop,,1910,765,,448
9310600,41.9608301,-87.718792,11/4/16,3611 W MONTROSE Ave #305,CHICAGO,IL,60618,215000,2,2,Irving Park,,2005,764,,201
9359765,41.9054292,-87.6319414,11/7/16,1255 N Sandburg Ter Unit 1008E,CHICAGO,IL,60610,174000,1,1,Near North Side,550,1965,761,316,384
9338420,41.8802554,-87.6805396,11/10/16,2136 W Monroe St #103,CHICAGO,IL,60612,230000,2,2,Near West Side,1400,,758,164,250
9333674,41.889792,-87.6260503,11/10/16,405 N Wabash Ave #3309,CHICAGO,IL,60611,491750,2,2,Near North Side,1250,1977,758,393,1164
9345571,41.8572253,-87.6236513,11/10/16,1819 S MICHIGAN Ave #607,Chicago,IL,60616,294000,2,1,Near South Side,984,2006,758,299,305
9371314,41.8989354,-87.644724,11/14/16,845 N Kingsbury St #509,CHICAGO,IL,60610,305250,1,1,Near North Side,980,2007,754,311,532
9319518,41.8970344,-87.6803124,11/14/16,2118 W RICE St #1,CHICAGO,IL,60622,275000,1,1,West Town,,2008,754,,69
9354311,41.7538857,-87.7306864,11/14/16,4300 W Ford City Dr #210,CHICAGO,IL,60652,39900,2,1.5,West Lawn,816,1986,754,49,271
9350418,41.96997,-87.765279,11/14/16,5500 W Higgins Ave Unit 3W,CHICAGO,IL,60630,149000,2,1,Jefferson Park,900,1979,754,166,238
9349132,41.9187197,-87.6879537,11/14/16,2402 W MCLEAN Ave #203,CHICAGO,IL,60647,371000,2,2,Logan Square,1400,2005,754,265,283
9319187,41.8850094,-87.6148097,11/15/16,155 N Harbor Dr #1206,CHICAGO,IL,60601,260000,1,1,Loop,,1974,753,,471
9281314,41.917926,-87.6956721,11/16/16,2735 W Armitage Ave #106,Chicago,IL,60647,237000,1,1,Logan Square,850,,752,279,247
9266811,41.977677,-87.841153,11/16/16,8558 W Catherine Ave Unit 6N,CHICAGO,IL,60656,100000,2,1,O'Hare,1000,,752,100,165
9352085,41.8944915,-87.63957,11/17/16,421 W Huron St #707,CHICAGO,IL,60654,260000,1,1,Near North Side,784,2001,751,332,405
9333450,41.8747336,-87.6895735,11/17/16,2521 W Congress Pkwy #2,CHICAGO,IL,60612,142000,2,2,Near West Side,1250,2005,751,114,180
9329934,41.893042,-87.629247,11/18/16,33 W Ontario St Unit 23I,CHICAGO,IL,60654,350000,2,1.5,Near North Side,,2003,750,,647
9366478,41.9913121,-87.6547605,11/18/16,6007 N Sheridan Rd Unit 17C,CHICAGO,IL,60660,274000,2,2,Edgewater,1480,1970,750,185,604
9285950,41.9863746,-87.7142021,11/21/16,5750 N kimball Ave Unit 2N,CHICAGO,IL,60659,155000,2,1,North Park,900,1961,747,172,100
9368977,41.934641,-87.642094,11/21/16,518 W Surf St #1,CHICAGO,IL,60657,409000,2,2,Lake View,,1917,747,,477
9279663,42.0092289,-87.6610573,11/23/16,1132 W Lunt Ave Unit 1D,Chicago,IL,60626,87500,2,1,Rogers Park,950,1949,745,92,594
9360460,41.9130105,-87.6355524,11/28/16,1701 N Crilly Ct Unit 4W,CHICAGO,IL,60614,311000,1,1,Lincoln Park,,2006,740,,254
9357298,41.8812862,-87.656228,11/28/16,1155 W Madison St #208,CHICAGO,IL,60607,290000,1,1.5,Near West Side,950,2002,740,305,229
9349601,41.8920808,-87.6288591,11/28/16,545 N Dearborn St #2207,CHICAGO,IL,60654,442250,2,2,Near North Side,1206,2003,740,367,863
9363515,41.9649967,-87.6606269,11/29/16,4553 N Magnolia Ave #306,CHICAGO,IL,60640,300000,2,2,Uptown,1389,2004,739,216,304
9344089,41.9810479,-87.6544889,11/29/16,5445 N Sheridan Rd #1901,CHICAGO,IL,60640,195000,2,2,Edgewater,1200,1972,739,163,560
9252419,41.9935886,-87.6551152,11/29/16,6147 N Sheridan Rd Unit 22B,CHICAGO,IL,60660,167500,2,2,Edgewater,1600,1970,739,105,850
9360840,41.8906697,-87.614747,11/30/16,474 N LAKE SHORE Dr #2410,CHICAGO,IL,60611,271250,1,1,Near North Side,741,1990,738,366,536
9363023,41.9686829,-87.670621,11/30/16,1627 W LAWRENCE Ave #3,CHICAGO,IL,60640,164900,1,1,Uptown,800,1911,738,206,284
9309786,41.9341246,-87.8263905,11/30/16,8005 W Oconnor Dr Unit 5C,RIVER GROVE,IL,60171,152000,2,2,River Grove,1200,1974,738,127,267
9384630,41.889792,-87.6260503,12/1/16,405 N Wabash Ave #3505,CHICAGO,IL,60611,280000,1,1,Near North Side,752,1977,737,372,642
9349711,41.9126672,-87.6334854,12/1/16,1660 N LaSalle Dr #610,CHICAGO,IL,60614,237000,1,1,Lincoln Park,,1972,737,,362
9379561,41.8987738,-87.6447728,12/1/16,900 N Kingsbury St #1011,CHICAGO,IL,60610,283000,1,1,Near North Side,,,737,,538
9345950,41.957115,-87.729784,12/1/16,4101 W BERTEAU Ave #202,Chicago,IL,60641,160000,2,1,Irving Park,900,1963,737,178,227
9371336,41.8912006,-87.6677838,12/1/16,1610 W Grand Ave Unit 2C,CHICAGO,IL,60622,388500,2,2,West Town,1300,2004,737,299,156
9375100,41.929704,-87.644165,12/2/16,630 W Wrightwood Ave Unit 3W,CHICAGO,IL,60614,522500,2,2,Lincoln Park,1800,1996,736,290,339
9335588,41.9275533,-87.6607365,12/5/16,1300 W Altgeld St #106,CHICAGO,IL,60614,330000,1,1.5,Lincoln Park,,1992,733,,260
9369658,41.9614847,-87.697477,12/5/16,2736 W Montrose Ave Unit 2E,CHICAGO,IL,60618,290000,2,2,Albany Park,1432,2000,733,203,239
9376365,41.8917899,-87.639288,12/8/16,420 W Grand Ave Unit 3B,CHICAGO,IL,60654,331000,1,1,Near North Side,,1908,730,,290
9374415,41.943312,-87.6523561,12/8/16,911 W ROSCOE St #2,Chicago,IL,60657,445000,2,2,Lake View,1400,2006,730,318,139
9353105,42.0063444,-87.6673215,12/9/16,1441 W Farwell Ave Unit 4A,Chicago,IL,60626,60000,2,1,Rogers Park,1100,1965,729,55,305
9349183,41.898127,-87.621595,12/12/16,201 E Chestnut St Unit 3D,CHICAGO,IL,60611,250800,1,1,Near North Side,1050,1962,726,239,438
9379841,41.86812,-87.6271945,12/12/16,1133 S STATE St #506,CHICAGO,IL,60605,239900,1,1,Loop,843,2005,726,285,579
9405241,41.8603978,-87.6251552,12/15/16,50 E 16th St #711,CHICAGO,IL,60616,272500,1,1,Near South Side,784,2008,723,348,304
9365714,41.9243262,-87.6375516,12/16/16,2317 N COMMONWEALTH Ave Unit 1W,CHICAGO,IL,60614,225000,1,1,Lincoln Park,1100,1920,722,205,389
9378416,41.8795309,-87.6537879,12/16/16,1040 W Adams St #434,CHICAGO,IL,60607,370000,1,1.5,Near West Side,960,,722,385,542
9354653,41.9393023,-87.6804103,12/16/16,2051 W Belmont Ave #1,CHICAGO,IL,60618,394700,2,2,North Center,1450,2001,722,272,189
9374952,41.9702096,-87.694708,12/16/16,4857 N TALMAN Ave #3,CHICAGO,IL,60625,385000,2,2,Lincoln Square,1700,1922,722,226,238
9381094,41.9179691,-87.6759697,12/16/16,1918 W ARMITAGE Ave Unit 3A,Chicago,IL,60622,540000,2,2,Logan Square,1260,2013,722,429,150
9328863,41.9635238,-87.7566705,12/16/16,4539 N Milwaukee Ave Unit 4C,CHICAGO,IL,60630,165000,2,1.5,Portage Park,,1979,722,,198
9358763,41.9530699,-87.667874,12/20/16,3918 N Greenview Ave Unit 2W,CHICAGO,IL,60613,407500,2,2,Lake View,,1995,718,,187
9223216,41.9003994,-87.6246803,12/21/16,950 N Michigan Ave #2405,CHICAGO,IL,60611,950000,2,2.5,Near North Side,1860,1983,717,511,1220
9336966,41.95002,-87.6782829,12/22/16,3745 N Damen Ave #3,CHICAGO,IL,60618,585000,2,2,North Center,,2016,716,,189
9312055,42.0073694,-87.7080448,12/22/16,6933 N KEDZIE Ave #413,CHICAGO,IL,60645,87000,2,2,West Ridge,1100,1970,716,79,692
9350113,41.962459,-87.7402819,12/22/16,4449 W SUNNYSIDE Ave #3,CHICAGO,IL,60630,82000,2,1,Irving Park,,1929,716,,92
9348132,41.8799167,-87.6417716,12/23/16,125 S JEFFERSON St #2310,CHICAGO,IL,60661,280000,1,1,Near West Side,842,2003,715,333,496
9336352,41.9277369,-87.7062551,12/29/16,3131 W Logan Blvd Unit 2B,CHICAGO,IL,60647,334500,2,2,Logan Square,1200,2005,709,279,236
9470317,41.935229,-87.6398035,1/3/17,2930 N SHERIDAN Rd #904,CHICAGO,IL,60657,209000,1,1,Lake View,,,704,,245
9308327,41.8809491,-87.6281785,1/4/17,8 W Monroe St #1106,CHICAGO,IL,60603,179500,1,1,Loop,700,,703,256,421
9376015,41.9484535,-87.6759295,1/6/17,1849 W Waveland Ave #3,CHICAGO,IL,60613,301500,2,2,North Center,1200,1910,701,251,214
9325156,41.9876736,-87.6546834,1/6/17,5801 N Sheridan Rd Unit 8D,CHICAGO,IL,60660,195000,2,2,Edgewater,1500,1956,701,130,926
9347850,42.004783,-87.660443,1/10/17,1146 W columbia Ave Unit 3E,CHICAGO,IL,60626,278000,2,2,Rogers Park,1400,1920,697,199,177
9291426,41.9659583,-87.7172057,1/20/17,4642 N Drake Ave Unit 1N,CHICAGO,IL,60625,175000,2,2,Albany Park,1200,1919,687,146,198
9358794,41.9418,-87.749232,1/27/17,4854 W Henderson St #2,CHICAGO,IL,60641,98000,2,1,Portage Park,855,,680,115,120
9406437,42.0109339,-87.708018,1/31/17,7141 N Kedzie Ave #804,CHICAGO,IL,60645,125000,2,2,West Ridge,1500,1972,676,83,561
9345922,41.910966,-87.6267249,2/3/17,1550 N Lake Shore Dr Unit 7E,CHICAGO,IL,60610,269000,1,1,Near North Side,,1960,673,,676
9383471,41.9240027,-87.6383401,2/3/17,2300 N Commonwealth Ave Unit 3D,CHICAGO,IL,60614,230000,1,1,Lincoln Park,800,,673,288,260
9275426,41.9092557,-87.6323365,2/4/17,1460 N Sandburg Ter Unit 1707A,CHICAGO,IL,60610,180000,1,1,Near North Side,,1965,672,,360
9368363,41.736687,-87.620684,2/8/17,8645 S Michigan Ave Unit 3N,CHICAGO,IL,60619,51000,2,1,Chatham,900,,668,57,247
9379029,41.9247974,-87.6385943,2/10/17,2336 N Commonwealth Ave #209,CHICAGO,IL,60614,210000,1,1,Lincoln Park,800,1968,666,263,351
